szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BOBULA Ida,2,https://www.wikidata.org/wiki/Q832768,NA,NA,nő,1900-02-27,Budapest,19.040833333,47.498333333,1981-10-24,Gaffney,-81.653055555,35.071944444,45633610,1147514151
BODA István,1,https://www.wikidata.org/wiki/Q832887,NA,NA,NA,1928-12-19,Kisvárda,NA,NA,NA,NA,NA,NA,NA,NA
BODÁS János,1,NA,1905-1987,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODONYI Nándor,1,NA,1862-?,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODOR Ádám,1,https://www.wikidata.org/wiki/Q833072,NA,NA,NA,1936-02-22,Cluj-Napoca,NA,NA,NA,NA,NA,NA,NA,NA
BODOR Aladár,2,https://www.wikidata.org/wiki/Q12344750,NA,NA,férfi,1880-01-29,Alvinc,23.485833333,45.994444444,1952-04-19,Budapest,19.040833333,47.498333333,24970441,NA
BODROG Miklós,3,NA,1929-2009,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODROGI Sándor,3,NA,1960-1970,PUBLDATA mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODROGI Zsigmond,2,https://www.wikidata.org/wiki/Q88884849,NA,NA,férfi,1874-01-15,Kúla,19.533333333,45.6,1937-04-23,Budapest,19.040833333,47.498333333,121421646,NA
BOHUNICZKY Szofi,1,https://www.wikidata.org/wiki/Q25929877,NA,SzEfi,nő,1894-03-19,Pécsely,17.785488888,46.955930555,1964-02-28,Budapest,19.040833333,47.498333333,NA,NA
BÓKA László,13,https://www.wikidata.org/wiki/Q854908,NA,NA,férfi,1910-06-19,Budapest,19.040833333,47.498333333,1964-11-01,Budapest,19.040833333,47.498333333,28514478299725087e4,138235740
BÓKAY János,20,https://www.wikidata.org/wiki/Q331428,NA,NA,férfi,1892-07-10,Budapest,19.040833333,47.498333333,1961-07-16,Budapest,19.040833333,47.498333333,85767446,1070503746
