author,region1,region2
MOLNÁR Ferenc,Austria,Israel
ADY Endre,Austria,Israel
DÉRY Tibor,Austria,Italy
HÁY Gyula,Austria,Italy
MIKSZÁTH Kálmán,Austria,Italy
ÖRKÉNY István,Austria,Italy
ZILAHY Lajos,Austria,Italy
GÁRDONYI Géza,Austria,Italy
KÖRMENDI Ferenc,Austria,Italy
KRÚDY Gyula,Austria,Italy
FEJES Endre,Austria,Italy
ILLYÉS Gyula,Austria,Italy
PETŐFI Sándor,Austria,Italy
MOLNÁR Ferenc,Austria,Italy
ADY Endre,Austria,Italy
ÖRKÉNY István,Austria,Japan
ZILAHY Lajos,Austria,Japan
ILLYÉS Gyula,Austria,Japan
PETŐFI Sándor,Austria,Japan
MOLNÁR Ferenc,Austria,Japan
MOLNÁR Ferenc,Austria,Liechtenstein
DÉRY Tibor,Austria,Mexico
PASSUTH László,Austria,Mexico
PETŐFI Sándor,Austria,Mongolia
DÉRY Tibor,Austria,Netherlands
ILLÉS Béla,Austria,Netherlands
MIKSZÁTH Kálmán,Austria,Netherlands
VASZARY Gábor,Austria,Netherlands
PASSUTH László,Austria,Netherlands
GÁRDONYI Géza,Austria,Netherlands
KÖRMENDI Ferenc,Austria,Netherlands
ILLYÉS Gyula,Austria,Netherlands
PILINSZKY János,Austria,Netherlands
PETŐFI Sándor,Austria,North Korea
DÉRY Tibor,Austria,Norway
ÖRKÉNY István,Austria,Norway
ZILAHY Lajos,Austria,Norway
ILLYÉS Gyula,Austria,Norway
PETŐFI Sándor,Austria,Norway
HÁY Gyula,Austria,PR China
ILLÉS Béla,Austria,PR China
MIKSZÁTH Kálmán,Austria,PR China
SZABÓ Pál,Austria,PR China
PETŐFI Sándor,Austria,PR China
DÉRY Tibor,Austria,Poland
FEKETE István,Austria,Poland
HÁY Gyula,Austria,Poland
ILLÉS Béla,Austria,Poland
KOVAI Lőrinc,Austria,Poland
MIKSZÁTH Kálmán,Austria,Poland
ÖRKÉNY István,Austria,Poland
PASSUTH László,Austria,Poland
GÁRDONYI Géza,Austria,Poland
FEJES Endre,Austria,Poland
SZÁNTÓ György,Austria,Poland
G. SZABÓ Judit,Austria,Poland
SZÁSZ Imre,Austria,Poland
ILLYÉS Gyula,Austria,Poland
PETŐFI Sándor,Austria,Poland
MOLNÁR Ferenc,Austria,Poland
ADY Endre,Austria,Poland
DÉRY Tibor,Austria,Portugal
ÖRKÉNY István,Austria,Portugal
DÉRY Tibor,Austria,Romania
ILLÉS Béla,Austria,Romania
MIKSZÁTH Kálmán,Austria,Romania
ÖRKÉNY István,Austria,Romania
PASSUTH László,Austria,Romania
GÁRDONYI Géza,Austria,Romania
KRÚDY Gyula,Austria,Romania
FEJES Endre,Austria,Romania
SZÁNTÓ György,Austria,Romania
ILLYÉS Gyula,Austria,Romania
PETŐFI Sándor,Austria,Romania
MIKES Kelemen,Austria,Romania
MOLNÁR Ferenc,Austria,Romania
ADY Endre,Austria,Romania
VASZARY Gábor,Austria,South Korea
DÉRY Tibor,Austria,Spain
MIKSZÁTH Kálmán,Austria,Spain
ÖRKÉNY István,Austria,Spain
VASZARY Gábor,Austria,Spain
ZILAHY Lajos,Austria,Spain
PASSUTH László,Austria,Spain
KÖRMENDI Ferenc,Austria,Spain
FEJES Endre,Austria,Spain
PETŐFI Sándor,Austria,Spain
MOLNÁR Ferenc,Austria,Spain
ADY Endre,Austria,Spain
DÉRY Tibor,Austria,Sweden
ÖRKÉNY István,Austria,Sweden
ZILAHY Lajos,Austria,Sweden
ILLYÉS Gyula,Austria,Sweden
PETŐFI Sándor,Austria,Sweden
PILINSZKY János,Austria,Sweden
MOLNÁR Ferenc,Austria,Sweden
ADY Endre,Austria,Sweden
BALÁZS Béla,Austria,Switzerland
MIKSZÁTH Kálmán,Austria,Switzerland
ZILAHY Lajos,Austria,Switzerland
PILINSZKY János,Austria,Switzerland
DÉRY Tibor,Austria,Turkey
ZILAHY Lajos,Austria,Turkey
GÁRDONYI Géza,Austria,Turkey
PETŐFI Sándor,Austria,Turkey
MOLNÁR Ferenc,Austria,Turkey
DÉRY Tibor,Austria,UK
ILLÉS Béla,Austria,UK
MIKSZÁTH Kálmán,Austria,UK
ÖRKÉNY István,Austria,UK
ZILAHY Lajos,Austria,UK
PASSUTH László,Austria,UK
GÁRDONYI Géza,Austria,UK
KÖRMENDI Ferenc,Austria,UK
ILLYÉS Gyula,Austria,UK
MOLNÁR Ferenc,Austria,UK
DÉRY Tibor,Austria,USA
ZILAHY Lajos,Austria,USA
PASSUTH László,Austria,USA
KÖRMENDI Ferenc,Austria,USA
FEJES Endre,Austria,USA
ILLYÉS Gyula,Austria,USA
PETŐFI Sándor,Austria,USA
MOLNÁR Ferenc,Austria,USA
ADY Endre,Austria,USA
PETŐFI Sándor,Austria,USSR-azerbajdzsán
PETŐFI Sándor,Austria,USSR-baskir
DÉRY Tibor,Austria,USSR-fehérorosz
ÖRKÉNY István,Austria,USSR-fehérorosz
PETŐFI Sándor,Austria,USSR-fehérorosz
DÉRY Tibor,Austria,USSR-grúz
MIKSZÁTH Kálmán,Austria,USSR-grúz
ÖRKÉNY István,Austria,USSR-grúz
PETŐFI Sándor,Austria,USSR-grúz
MOLNÁR Ferenc,Austria,USSR-grúz
ADY Endre,Austria,USSR-grúz
MIKSZÁTH Kálmán,Austria,USSR-kazah
PETŐFI Sándor,Austria,USSR-kazah
ÖRKÉNY István,Austria,USSR-kirgiz
PETŐFI Sándor,Austria,USSR-kirgiz
FEKETE István,Austria,USSR-lett
ILLÉS Béla,Austria,USSR-lett
MIKSZÁTH Kálmán,Austria,USSR-lett
ÖRKÉNY István,Austria,USSR-lett
GÁRDONYI Géza,Austria,USSR-lett
FEJES Endre,Austria,USSR-lett
ILLYÉS Gyula,Austria,USSR-lett
PETŐFI Sándor,Austria,USSR-lett
DÉRY Tibor,Austria,USSR-litván
HOLLÓS KORVIN Lajos,Austria,USSR-litván
ILLÉS Béla,Austria,USSR-litván
MIKSZÁTH Kálmán,Austria,USSR-litván
GÁRDONYI Géza,Austria,USSR-litván
FEJES Endre,Austria,USSR-litván
PETŐFI Sándor,Austria,USSR-litván
MOLNÁR Ferenc,Austria,USSR-litván
DÉRY Tibor,Austria,USSR-moldva
PETŐFI Sándor,Austria,USSR-moldva
